arrival_time,start_time,finish_time,wait_time,queue_length,arrival_minutes,start_minutes
30-03-2023 5.34,30-03-2023 5.41,2023-03-30 05:55:29.400000000,14.19,50,334,341
30-03-2023 5.34,30-03-2023 5.40,2023-03-30 05:54:07.800000000,13.83,50,334,340
30-03-2023 5.34,30-03-2023 5.39,2023-03-30 05:51:18.000000000,12.0,50,334,339
30-03-2023 5.34,30-03-2023 5.34,2023-03-30 05:46:29.400000000,12.19,50,334,334
30-03-2023 5.34,30-03-2023 5.37,2023-03-30 05:43:57.600000000,6.66,50,334,337
30-03-2023 5.34,30-03-2023 5.41,2023-03-30 05:50:16.800000000,8.98,50,334,341
30-03-2023 5.34,30-03-2023 5.42,2023-03-30 05:42:01.800000000,-0.27,50,334,342
30-03-2023 5.34,30-03-2023 5.38,2023-03-30 05:48:39.599999999,10.36,50,334,338
30-03-2023 5.34,30-03-2023 5.37,2023-03-30 05:51:26.400000000,14.14,50,334,337
30-03-2023 5.34,30-03-2023 5.34,2023-03-30 05:47:49.800000000,13.53,50,334,334
30-03-2023 5.34,30-03-2023 5.35,2023-03-30 05:42:15.600000000,6.96,50,334,335
30-03-2023 5.34,30-03-2023 5.43,2023-03-30 05:50:57.000000000,7.65,50,334,343
30-03-2023 5.34,30-03-2023 5.37,2023-03-30 05:43:01.200000000,5.72,50,334,337
30-03-2023 5.34,30-03-2023 5.37,2023-03-30 05:46:03.000000000,8.75,50,334,337
30-03-2023 5.34,30-03-2023 5.37,2023-03-30 05:48:51.000000000,11.55,50,334,337
30-03-2023 5.34,30-03-2023 5.36,2023-03-30 05:42:33.000000000,6.25,50,334,336
30-03-2023 5.34,30-03-2023 5.39,2023-03-30 05:46:53.400000000,7.59,50,334,339
30-03-2023 5.34,30-03-2023 5.44,2023-03-30 05:59:41.400000000,15.39,50,334,344
30-03-2023 5.34,30-03-2023 5.35,2023-03-30 05:41:54.000000000,6.6,50,334,335
30-03-2023 5.34,30-03-2023 5.35,2023-03-30 05:44:57.600000000,9.66,50,334,335
30-03-2023 5.34,30-03-2023 5.34,2023-03-30 05:49:43.800000000,15.43,50,334,334
30-03-2023 6.51,30-03-2023 6.51,2023-03-30 07:04:35.800000000,12.93,24,411,411
30-03-2023 6.51,30-03-2023 7.00,2023-03-30 07:07:31.000000000,6.85,24,411,420
30-03-2023 6.51,30-03-2023 6.51,2023-03-30 06:54:59.800000000,3.33,24,411,411
30-03-2023 6.51,30-03-2023 6.59,2023-03-30 07:09:05.800000000,9.43,24,411,419
30-03-2023 6.51,30-03-2023 7.01,2023-03-30 07:16:01.599999999,14.36,24,411,421
30-03-2023 6.51,30-03-2023 6.53,2023-03-30 07:02:49.600000000,9.16,24,411,413
30-03-2023 6.51,30-03-2023 6.52,2023-03-30 06:59:44.200000000,7.07,24,411,412
30-03-2023 6.51,30-03-2023 6.58,2023-03-30 07:25:38.800000000,26.98,24,411,418
30-03-2023 6.51,30-03-2023 6.57,2023-03-30 07:15:21.400000000,17.69,24,411,417
30-03-2023 6.51,30-03-2023 6.56,2023-03-30 07:04:50.200000000,8.17,24,411,416
30-03-2023 6.51,30-03-2023 6.52,2023-03-30 07:05:47.199999999,13.12,24,411,412
30-03-2023 6.51,30-03-2023 6.51,2023-03-30 06:55:07.000000000,3.45,24,411,411
30-03-2023 6.51,30-03-2023 6.55,2023-03-30 07:07:08.800000000,11.48,24,411,415
30-03-2023 6.51,30-03-2023 6.59,2023-03-30 06:59:13.600000000,-0.44,24,411,419
30-03-2023 6.51,30-03-2023 6.57,2023-03-30 07:10:26.199999999,12.77,24,411,417
30-03-2023 6.51,30-03-2023 6.52,2023-03-30 07:02:08.800000000,9.48,24,411,412
30-03-2023 6.51,30-03-2023 6.51,2023-03-30 07:10:19.000000000,18.65,24,411,411
30-03-2023 6.51,30-03-2023 6.53,2023-03-30 07:06:17.199999999,12.62,24,411,413
30-03-2023 6.51,30-03-2023 6.51,2023-03-30 07:04:53.800000000,13.23,24,411,411
30-03-2023 6.51,30-03-2023 6.54,2023-03-30 07:06:58.000000000,12.3,24,411,414
30-03-2023 6.51,30-03-2023 7.01,2023-03-30 07:06:16.000000000,4.6,24,411,421
30-03-2023 6.51,30-03-2023 6.55,2023-03-30 06:54:34.600000000,-1.09,24,411,415
30-03-2023 6.51,30-03-2023 7.00,2023-03-30 07:08:17.800000000,7.63,24,411,420
30-03-2023 6.51,30-03-2023 6.53,2023-03-30 07:04:30.400000000,10.84,24,411,413
30-03-2023 7.14,30-03-2023 7.14,2023-03-30 07:22:55.400000000,8.59,3,434,434
30-03-2023 7.14,30-03-2023 7.24,2023-03-30 07:37:00.200000000,12.67,3,434,444
30-03-2023 7.14,30-03-2023 7.16,2023-03-30 07:21:24.800000000,5.08,3,434,436
30-03-2023 8.42,30-03-2023 8.42,2023-03-30 08:46:29.000000000,3.7,47,522,522
30-03-2023 8.42,30-03-2023 8.43,2023-03-30 08:47:57.799999999,4.18,47,522,523
30-03-2023 8.42,30-03-2023 8.42,2023-03-30 08:42:24.200000000,-0.38,47,522,522
30-03-2023 8.42,30-03-2023 8.45,2023-03-30 08:52:08.000000000,6.35,47,522,525
30-03-2023 8.42,30-03-2023 8.45,2023-03-30 08:54:27.200000000,8.67,47,522,525
30-03-2023 8.42,30-03-2023 8.50,2023-03-30 09:03:23.599999999,12.61,47,522,530
30-03-2023 8.42,30-03-2023 8.50,2023-03-30 09:00:28.400000000,9.69,47,522,530
30-03-2023 8.42,30-03-2023 8.42,2023-03-30 08:49:24.800000000,6.63,47,522,522
30-03-2023 8.42,30-03-2023 8.50,2023-03-30 09:04:26.000000000,13.65,47,522,530
30-03-2023 8.42,30-03-2023 8.42,2023-03-30 08:52:03.800000000,9.28,47,522,522
30-03-2023 8.42,30-03-2023 8.48,2023-03-30 09:03:36.800000000,14.83,47,522,528
30-03-2023 8.42,30-03-2023 8.49,2023-03-30 08:56:06.200000000,6.32,47,522,529
30-03-2023 8.42,30-03-2023 8.47,2023-03-30 08:58:27.800000000,10.68,47,522,527
30-03-2023 8.42,30-03-2023 8.50,2023-03-30 08:59:22.400000000,8.59,47,522,530
30-03-2023 8.42,30-03-2023 8.48,2023-03-30 09:00:05.000000000,11.3,47,522,528
30-03-2023 8.42,30-03-2023 8.43,2023-03-30 09:00:47.600000000,17.01,47,522,523
30-03-2023 8.42,30-03-2023 8.51,2023-03-30 09:05:08.599999999,13.36,47,522,531
30-03-2023 8.42,30-03-2023 8.44,2023-03-30 08:46:10.399999999,1.39,47,522,524
30-03-2023 8.42,30-03-2023 8.42,2023-03-30 08:49:26.000000000,6.65,47,522,522
30-03-2023 8.42,30-03-2023 8.51,2023-03-30 09:04:55.400000000,13.14,47,522,531
30-03-2023 8.42,30-03-2023 8.45,2023-03-30 08:55:02.000000000,9.25,47,522,525
30-03-2023 8.42,30-03-2023 8.50,2023-03-30 08:56:25.400000000,5.64,47,522,530
30-03-2023 8.42,30-03-2023 8.46,2023-03-30 09:01:08.000000000,14.35,47,522,526
30-03-2023 8.42,30-03-2023 8.44,2023-03-30 08:56:34.400000000,11.79,47,522,524
30-03-2023 8.42,30-03-2023 8.46,2023-03-30 08:58:37.400000000,11.84,47,522,526
30-03-2023 8.42,30-03-2023 8.46,2023-03-30 08:47:54.800000000,1.13,47,522,526
30-03-2023 8.42,30-03-2023 8.46,2023-03-30 08:52:48.200000000,6.02,47,522,526
30-03-2023 8.42,30-03-2023 8.49,2023-03-30 08:49:32.000000000,-0.25,47,522,529
30-03-2023 8.42,30-03-2023 8.44,2023-03-30 08:55:47.000000000,11.0,47,522,524
30-03-2023 8.42,30-03-2023 8.49,2023-03-30 08:56:23.600000000,6.61,47,522,529
30-03-2023 8.42,30-03-2023 8.49,2023-03-30 09:06:46.399999999,16.99,47,522,529
30-03-2023 8.42,30-03-2023 8.46,2023-03-30 08:48:51.199999999,2.07,47,522,526
30-03-2023 8.42,30-03-2023 8.44,2023-03-30 09:03:32.000000000,18.75,47,522,524
30-03-2023 8.42,30-03-2023 8.51,2023-03-30 09:07:50.000000000,16.05,47,522,531
30-03-2023 8.42,30-03-2023 8.44,2023-03-30 08:54:27.200000000,9.67,47,522,524
30-03-2023 8.42,30-03-2023 8.46,2023-03-30 08:59:45.800000000,12.98,47,522,526
30-03-2023 8.42,30-03-2023 8.43,2023-03-30 08:59:27.800000000,15.68,47,522,523
30-03-2023 8.42,30-03-2023 8.47,2023-03-30 09:00:23.000000000,12.6,47,522,527
30-03-2023 8.42,30-03-2023 8.52,2023-03-30 09:04:59.000000000,12.2,47,522,532
30-03-2023 8.42,30-03-2023 8.48,2023-03-30 08:52:24.200000000,3.62,47,522,528
30-03-2023 8.42,30-03-2023 8.44,2023-03-30 08:53:34.400000000,8.79,47,522,524
30-03-2023 8.42,30-03-2023 8.46,2023-03-30 08:52:12.799999999,5.43,47,522,526
30-03-2023 8.42,30-03-2023 8.42,2023-03-30 09:01:57.800000000,19.18,47,522,522
30-03-2023 8.42,30-03-2023 8.49,2023-03-30 09:06:03.800000000,16.28,47,522,529
30-03-2023 8.42,30-03-2023 8.48,2023-03-30 08:59:35.000000000,10.8,47,522,528
30-03-2023 8.42,30-03-2023 8.49,2023-03-30 09:01:44.000000000,11.95,47,522,529
30-03-2023 8.42,30-03-2023 8.48,2023-03-30 08:46:56.600000000,-1.84,47,522,528
30-03-2023 9.49,30-03-2023 9.49,2023-03-30 09:58:34.000000000,9.5,10,589,589
30-03-2023 9.49,30-03-2023 9.49,2023-03-30 09:57:23.800000000,8.33,10,589,589
30-03-2023 9.49,30-03-2023 9.50,2023-03-30 09:52:20.799999999,2.28,10,589,590
30-03-2023 9.49,30-03-2023 9.50,2023-03-30 09:56:55.000000000,6.85,10,589,590
30-03-2023 9.49,30-03-2023 9.58,2023-03-30 10:05:26.800000000,7.38,10,589,598
30-03-2023 9.49,30-03-2023 9.50,2023-03-30 10:02:41.800000000,12.63,10,589,590
30-03-2023 9.49,30-03-2023 9.58,2023-03-30 10:12:02.800000000,13.98,10,589,598
30-03-2023 9.49,30-03-2023 9.52,2023-03-30 10:04:28.000000000,12.4,10,589,592
30-03-2023 9.49,30-03-2023 9.57,2023-03-30 10:08:35.199999999,11.52,10,589,597
30-03-2023 9.49,30-03-2023 9.59,2023-03-30 10:13:34.600000000,14.51,10,589,599
30-03-2023 10.31,30-03-2023 10.31,2023-03-30 10:44:31.400000000,13.14,32,631,631
30-03-2023 10.31,30-03-2023 10.35,2023-03-30 10:40:59.000000000,5.6,32,631,635
30-03-2023 10.31,30-03-2023 10.37,2023-03-30 10:48:41.000000000,11.3,32,631,637
30-03-2023 10.31,30-03-2023 10.33,2023-03-30 10:44:06.200000000,10.72,32,631,633
30-03-2023 10.31,30-03-2023 10.31,2023-03-30 10:36:47.600000000,5.41,32,631,631
30-03-2023 10.31,30-03-2023 10.31,2023-03-30 10:45:21.800000000,13.98,32,631,631
30-03-2023 10.31,30-03-2023 10.34,2023-03-30 10:45:29.000000000,11.1,32,631,634
30-03-2023 10.31,30-03-2023 10.41,2023-03-30 10:51:06.800000000,9.73,32,631,641
30-03-2023 10.31,30-03-2023 10.38,2023-03-30 10:47:33.200000000,9.17,32,631,638
30-03-2023 10.31,30-03-2023 10.32,2023-03-30 10:39:00.200000000,6.62,32,631,632
30-03-2023 10.31,30-03-2023 10.38,2023-03-30 10:47:40.400000000,9.29,32,631,638
30-03-2023 10.31,30-03-2023 10.37,2023-03-30 10:39:12.200000000,1.82,32,631,637
30-03-2023 10.31,30-03-2023 10.41,2023-03-30 10:47:42.800000000,6.33,32,631,641
30-03-2023 10.31,30-03-2023 10.34,2023-03-30 10:46:30.199999999,12.12,32,631,634
30-03-2023 10.31,30-03-2023 10.31,2023-03-30 10:37:44.000000000,6.35,32,631,631
30-03-2023 10.31,30-03-2023 10.35,2023-03-30 10:44:29.599999999,9.11,32,631,635
30-03-2023 10.31,30-03-2023 10.41,2023-03-30 10:53:36.200000000,12.22,32,631,641
30-03-2023 10.31,30-03-2023 10.33,2023-03-30 10:44:02.000000000,10.65,32,631,633
30-03-2023 10.31,30-03-2023 10.33,2023-03-30 10:44:15.800000000,10.88,32,631,633
30-03-2023 10.31,30-03-2023 10.39,2023-03-30 10:54:21.200000000,14.97,32,631,639
30-03-2023 10.31,30-03-2023 10.37,2023-03-30 10:51:24.199999999,14.02,32,631,637
30-03-2023 10.31,30-03-2023 10.35,2023-03-30 10:41:16.400000000,5.89,32,631,635
30-03-2023 10.31,30-03-2023 10.32,2023-03-30 10:40:09.200000000,7.77,32,631,632
30-03-2023 10.31,30-03-2023 10.34,2023-03-30 10:53:14.600000000,18.86,32,631,634
30-03-2023 10.31,30-03-2023 10.32,2023-03-30 10:38:25.400000000,6.04,32,631,632
30-03-2023 10.31,30-03-2023 10.36,2023-03-30 10:38:43.399999999,2.34,32,631,636
30-03-2023 10.31,30-03-2023 10.31,2023-03-30 10:43:58.400000000,12.59,32,631,631
30-03-2023 10.31,30-03-2023 10.40,2023-03-30 10:50:53.000000000,10.5,32,631,640
30-03-2023 10.31,30-03-2023 10.35,2023-03-30 10:47:15.199999999,11.87,32,631,635
